/ && GET,/cart && GET,/cart/checkout && POST,/product/[0-9][[:alnum:]]*$ && GET,/product/[a-zA-Z][[:alnum:]]*$ && GET,avg
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
67.07692307692308,110.07142857142857,119.8,89.66,0,0
67.07692307692308,110.07142857142857,119.8,89.66,0,0
67.07692307692308,110.07142857142857,119.8,89.66,0,0
208.17543859649123,413.45569620253167,442.14074074074074,332.3376623376623,0,0
208.17543859649123,413.4556962025316,442.14074074074074,332.3376623376623,0,0
208.1754385964912,413.4556962025316,442.1407407407408,332.3376623376623,0,0
208.1754385964912,413.4556962025316,442.14074074074074,332.3376623376623,0,0
208.1754385964912,413.4556962025316,442.14074074074074,332.3376623376624,0,0
208.17543859649126,413.45569620253167,442.1407407407408,332.3376623376624,0,0
208.17543859649123,413.45569620253167,442.14074074074074,332.3376623376623,0,0
208.17543859649123,413.45569620253167,442.1407407407407,332.3376623376623,0,0
208.17543859649123,413.4556962025316,442.14074074074074,332.3376623376624,0,0
243.22122126384167,456.9101233164064,469.68920411493605,367.7212242210776,0,0
243.76372463022025,458.1992052800857,470.1874758407422,368.44418359903375,0,0
248.99872349726772,471.80995061728396,470.6570141570142,374.16183214115404,0,0
283.7755102040817,510.8730158730159,498.3333333333333,407.62536873156347,0,0
283.7755102040817,510.8730158730159,498.3333333333333,407.62536873156347,0,0
283.7755102040817,510.8730158730159,498.3333333333333,407.62536873156347,0,0
283.7755102040817,510.8730158730159,498.3333333333333,407.62536873156347,0,0
283.7755102040816,510.8730158730158,498.3333333333333,407.6253687315634,0,0
283.7755102040817,510.8730158730159,498.3333333333333,407.62536873156347,0,0
283.7755102040817,510.8730158730159,498.3333333333333,407.62536873156347,0,0
283.7755102040817,510.8730158730159,498.3333333333333,407.62536873156347,0,0
283.7755102040817,510.8730158730159,498.3333333333333,407.62536873156347,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
235.9090909090909,446.0810810810811,451.6233766233766,363.586387434555,0,0
235.9090909090909,446.0810810810811,451.6233766233766,363.586387434555,0,0
235.9090909090909,446.0810810810811,451.6233766233766,363.586387434555,0,0
235.9090909090909,446.0810810810811,451.6233766233766,363.586387434555,0,0
235.9090909090909,446.0810810810811,451.6233766233766,363.586387434555,0,0
235.9090909090909,446.0810810810811,451.6233766233766,363.586387434555,0,0
235.9090909090909,446.0810810810811,451.6233766233766,363.586387434555,0,0
235.9090909090909,446.0810810810811,451.6233766233766,363.586387434555,0,0
235.9090909090909,446.0810810810811,451.6233766233766,363.586387434555,0,0
235.9090909090909,446.0810810810811,451.6233766233766,363.586387434555,0,0
235.9090909090909,446.0810810810811,451.6233766233766,363.586387434555,0,0
235.9090909090909,446.0810810810811,451.6233766233766,363.586387434555,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
2022.7272727272727,1283.0901639344263,,,1479.1385542168673,0
2022.7272727272727,1283.0901639344263,,,1479.1385542168673,0
2022.7272727272727,1283.090163934426,,,1479.1385542168673,0
3542.5,653.8041825095057,,,1327.5524781341107,0
3542.5,653.8041825095057,,,1327.5524781341107,0
3655.3378378378384,367.4120982986767,,,1086.1905465288035,0
3655.3378378378384,367.41209829867677,,,1086.1905465288035,0
3655.3378378378384,367.41209829867677,,,1086.1905465288035,0
2243.184438040346,291.84386852085964,,,886.8484182776801,0
2243.184438040346,291.84386852085964,,,886.8484182776801,0
1676.9293327032137,256.14373814041744,,,747.1007580543272,0
1725.3024574669187,256.14373814041744,,,747.1007580543272,0
1409.4015210727969,229.51870145891942,,,653.8006756756756,0
1449.7988505747128,212.7108552990356,,,653.8006756756756,0
1449.7988505747128,202.64861563517914,,,653.8006756756756,0
1116.8443627450981,153.38697017268447,,,529.5502392344497,0
1116.8443627450981,153.38697017268447,,,529.5502392344497,0
831.8181818181819,164.5245641838352,,,448.5116067364589,0
831.8181818181819,164.5245641838352,,,448.5116067364589,0
831.8181818181819,164.5245641838352,,,448.5116067364589,0
724.918918918919,167.56733067729084,,,404.0582568807339,0
724.918918918919,167.56733067729084,,,404.0582568807339,0
705.1927194860814,167.3834526650756,,,396.6458238247376,0
705.1927194860814,167.3834526650756,,,396.6458238247376,0
685.864262990456,147.70657276995306,,,376.1994597028365,0
685.864262990456,147.70657276995306,,,376.1994597028365,0
685.864262990456,147.70657276995306,,,376.1994597028365,0
631.1585993820803,136.41833590138674,,,348.13838695460555,0
631.1585993820803,136.41833590138674,,,348.13838695460555,0
608.368580060423,135.40114942528737,,,339.77741514360315,0
608.368580060423,135.40114942528737,,,339.77741514360315,0
578.2455268389663,132.18711656441718,,,326.4445887445887,0
578.2455268389663,132.18711656441718,,,326.4445887445887,0
578.2455268389663,132.18711656441718,,,326.4445887445887,0
575.3758654797231,136.14824902723737,,,329.5537891986063,0
575.3758654797231,136.14824902723737,,,329.5537891986063,0
567.9125248508946,134.37683965917893,,,324.24923813670006,0
567.9125248508946,134.37683965917893,,,324.24923813670006,0
567.9125248508946,134.37683965917893,,,324.24923813670006,0
603.0913705583756,155.35888364779873,,,350.75830748781567,0
603.0913705583756,155.35888364779873,,,350.75830748781567,0
612.3836608066184,148.1087981146897,,,348.53459821428567,0
612.3836608066184,148.1087981146897,,,348.53459821428567,0
650.7534983853606,152.05095541401272,,,364.08512585812355,0
650.7534983853606,152.05095541401272,,,364.08512585812355,0
650.7534983853606,152.05095541401272,,,364.08512585812355,0
648.5129310344828,144.77922590837284,,,357.8443482224248,0
648.5129310344828,144.77922590837284,,,357.8443482224248,0
655.8406113537118,145.6265923566879,,,360.7997237569061,0
655.8406113537118,145.6265923566879,,,360.7997237569061,0
655.8406113537118,145.6265923566879,,,360.7997237569061,0
632.6965065502184,131.3793650793651,,,342.4117647058823,0
632.6965065502184,131.3793650793651,,,342.4117647058823,0
