/ && GET,/cart && GET,/cart/checkout && POST,/product/{id} && GET,avg
952.863436123348,513.0521759857613,489.954831517761,543.8210108358752,754.6874999999995
952.8634361233479,513.533667791444,490.042228884583,544.743447768871,754.6875000000002
924.88986784141,491.17355160458646,482.67479307833526,496.24452361851456,692.5480769230762
924.8898678414097,491.2119220835007,482.73992192735346,496.31651147647756,692.5480769230765
921.2809917355373,493.9321117687995,480.76240357462495,499.7252720373872,693.3403805496833
921.2809917355372,493.9653012510935,480.81640318139625,499.788354033535,693.3403805496833
910.2407333551138,490.5874521591669,479.3184880761751,496.34123438193365,672.0438943144547
883.244772865573,481.14764641045997,473.9943041247036,489.81606134912863,617.8533621099236
864.8836373080819,475.6498896349297,469.73601782900914,485.5769707500749,584.6497336297904
854.7750169970135,471.9976450183495,466.48596886910605,483.18529746348355,564.2309473336437
839.4899411029958,468.60925584411075,462.28605820914106,480.01729474904374,539.8083376985312
835.1186035525388,469.8988969985543,463.54112060656746,480.6607410581762,543.690090410243
817.2576453556253,463.87400732105175,458.5978502171964,476.025962568288,509.88230506721317
810.920425772167,461.13146071551864,455.3889206925239,474.3584460240679,499.1589143121554
805.5220724948522,459.51685239177147,454.1067954102044,473.10768013334325,497.65370453416097
789.1198013097371,457.55206990894527,457.04407788482285,471.01082424008035,495.46136317152013
783.3911676533871,455.9964042022494,455.7176421744838,469.8067231610966,493.9676860670106
762.9645136303616,449.56202421647987,452.623299094633,463.6432577655562,487.8631686099226
758.3063323338456,448.28412899638425,451.6428276041257,462.65231222717864,486.6346877886445
751.0518757684388,450.04683585107125,452.50768566819715,460.8950703725858,486.6342773517
754.1473870139547,453.40588477424876,451.4818160778341,465.13689192265156,489.7617084130457
729.0892548979023,451.52286689209905,456.0125688204169,465.13115164876365,486.9101021853512
719.1616664721819,448.2099835175858,452.98235916892577,462.07026766130747,483.7608132230107
683.9492684432339,441.3815699478704,450.508508374371,456.7392585157007,475.03909813207486
677.305505858266,438.64388929332125,452.11856254401556,454.8510637204073,472.89007042996457
568.6033022885141,413.54933615406793,417.02893410390084,431.9222759412054,446.5693812951124
574.7540662454496,413.08384700964245,419.1160650074707,431.5847027762891,446.7108746203466
514.4359148205381,395.50441523280233,399.54412886154125,417.42563206690016,429.74864916135994
568.7815819288621,405.8684499380938,416.04864212669145,425.34233240426227,441.187561917283
590.9155902795667,389.65827528817624,422.6858440270727,407.90130540667076,432.0452452797815
572.6495187144245,383.316525448245,417.31186817969285,402.2523005824029,425.8000163281398
478.1509091356538,331.2335509437109,381.53343325823926,349.1833368580452,376.5285240172679
465.47886279759797,316.7694615926581,364.16154237080235,333.99498889119275,362.15491967216184
324.06863111220423,217.3052123345812,244.81145843551744,228.7688637611613,239.48121453400717
306.19156868975864,211.82146931520117,240.76817109714295,223.86803342600396,234.86499914225624
248.6336162342294,185.80127535017047,227.97441678886213,201.35792584318335,216.6506487252691
245.7908243900613,178.8356762041226,226.81073836499235,193.3946087456644,211.4430593411864
244.59072466076424,175.19169046617546,225.46159608163003,190.76430904056502,209.14916219356832
238.78209389100022,162.66207543686934,221.91633725968882,172.95981353405392,198.0117393350423
243.62054505395642,164.32471642852818,217.6848708105116,170.66390995787836,199.31955110364288
225.32198656364034,111.17061505708055,206.27514097309586,106.42657538342091,159.44468494218867
219.51560019138668,102.573914792175,204.79830362490145,100.63403356292443,153.15167833214306
212.5123982128262,102.07226582333658,201.54050328583503,99.35745651141146,147.30103207876795
